bone_id,period_class,group_order,sentence_simple,surface_form,canonical_entity_id,canonical_name,entity_phase,entity_type,entity_subtype,entity_role,rule_hit,confidence,linked_entity_id
H25691,出二,0,己亥卜旅貞王賓待亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25692,出二,0,己亥卜旅貞王賓待亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25692,出二,0,己亥卜旅貞王賓待亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25693,出二,0,己酉卜旅貞王賓待亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25693,出二,0,己酉卜旅貞王賓待亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25694,出二,0,戊午卜未释貞王賓未释,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25694,出二,0,戊午卜未释貞王賓未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25699,出二,0,癸丑卜行貞王未释待祼未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25700,出二,0,丁卯卜行貞王賓待亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25700,出二,0,丁卯卜行貞王賓待亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25701,出二,0,丁卯卜未释貞王賓待亡祸十二月,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25701,出二,0,丁卯卜未释貞王賓待亡祸十二月,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25702,出二,0,辛未未释未释貞王未释埶未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25702,出二,2,壬申卜行貞王賓待亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25702,出二,2,壬申卜行貞王賓待亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25703,出二,1,己卯卜行貞王賓待亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25703,出二,1,己卯卜行貞王賓待亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25704,出二,0,壬申卜行貞王賓待亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25704,出二,0,壬申卜行貞王賓待亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25708,出二,0,戊子卜未释貞王未释待未释祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25708,出二,0,戊子卜未释貞王未释待未释祸,子,PRINCE_出二,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H25709,出二,0,壬子未释未释貞未释亡未释,子,PRINCE_出二,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H25709,出二,2,癸丑卜行貞王賓待亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25709,出二,2,癸丑卜行貞王賓待亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25710,出二,1,己未卜行貞王賓待亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25710,出二,1,己未卜行貞王賓待亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25711,出二,0,壬戌卜行貞王賓待亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25711,出二,0,壬戌卜行貞王賓待亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25712,出二,1,未释未释卜行貞王賓待祭亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25712,出二,1,未释未释卜行貞王賓待祭亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25713,出二,0,未释未卜行未释王賓未释亡祸在未释未释,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25713,出二,0,未释未卜行未释王賓未释亡祸在未释未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25714,出二,0,己卯卜未释貞王賓待亡祸在未释未释,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25714,出二,0,己卯卜未释貞王賓待亡祸在未释未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25715,出二,0,壬御卜未释貞王未释待亡未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25716,出二,0,丁亥卜未释貞王未释待亡未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25717,出二,2,戊子未释未释貞王未释待未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25717,出二,2,戊子未释未释貞王未释待未释,子,PRINCE_出二,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H25719,出二,0,丁亥未释未释貞王未释待未释祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25720,出二,0,丁未未释未释貞王未释待未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25720,出二,1,未释未释卜未释未释王未释月未释亡未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25721,出二,0,戊申卜未释貞王未释待未释祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25722,出二,0,戊申未释未释貞王賓待亡未释,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25722,出二,0,戊申未释未释貞王賓待亡未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25723,出二,0,壬子未释貞王未释待未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25723,出二,0,壬子未释貞王未释待未释,子,PRINCE_出二,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H25725,出二,0,戊午未释未释貞王未释待未释未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25728,出二,0,己未未释未释貞王未释待亡未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25728,出二,3,未释未释未释行未释賓未释未释祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25729,出二,0,癸亥未释未释貞王賓待亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25729,出二,0,癸亥未释未释貞王賓待亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25731,出二,0,丁未释未释未释貞王未释待未释祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25731,出二,3,未释未释卜未释未释賓未释未释祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25732,出一,0,未释戌未释王賓待亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25732,出一,0,未释戌未释王賓待亡祸,王,KING_出一,King (出一),living,human,king,agent,living_king_alone,low,
H25734,出二,0,戊辰卜未释貞王未释待亡未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25735,出二,0,未释未释王賓待亡尤,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25735,出二,0,未释未释王賓待亡尤,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25736,出二,0,壬戌卜貞王賓待亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25736,出二,0,壬戌卜貞王賓待亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25738,出二,0,未释未释王賓待亡尤,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25738,出二,0,未释未释王賓待亡尤,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25739,出二,0,未释未释卜貞王賓待未释,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25739,出二,0,未释未释卜貞王賓待未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25740,出二,0,壬寅未释貞王未释待亡未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25741,出二,0,未释未释卜未释貞王未释待未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25742,出二,0,未释未释卜未释貞王未释待亡未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25750,出二,0,己丑卜大貞王賓龠𫩀未释尤,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25750,出二,0,己丑卜大貞王賓龠𫩀未释尤,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25752,出二,0,乙酉卜即貞王賓龠亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25752,出二,0,乙酉卜即貞王賓龠亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25753,出二,0,乙卯卜出貞王賓龠亡尤,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25753,出二,0,乙卯卜出貞王賓龠亡尤,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25755,出二,0,未释子卜旅貞王賓龠亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25755,出二,0,未释子卜旅貞王賓龠亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25755,出二,0,未释子卜旅貞王賓龠亡祸,子,PRINCE_出二,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H25756,出二,0,戊戌卜未释貞王未释龠亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25756,出二,2,未释未释未释旅未释賓龠亡尤,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25757,出二,0,未释未释卜尹未释賓未释龠未释未释,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25758,出二,0,未释未释未释肩未释賓未释龠未释祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25759,出二,1,乙丑卜貞王賓龠亡祸,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25759,出二,1,乙丑卜貞王賓龠亡祸,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H25760,出二,0,戊午未释未释貞王賓龠未释,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H25760,出二,0,戊午未释未释貞王賓龠未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H26010,出一,0,未释未释未释出未释未释丁未其奏家盧子晦于㞢宗若,子,PRINCE_出一,Prince,living,human,royal_family,agent,living_prince_pattern,medium,
H26020,出二,0,甲子卜行貞其宜于庚升,子,PRINCE_出二,Prince,living,human,royal_family,agent,living_prince_pattern,medium,
H26027,出二,1,甲子卜旅貞翌乙丑𠯑東伯牡,子,PRINCE_出二,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H26039,賓出,0,甲子未释未释貞翌乙丑我酌卒未释害三月,子,PRINCE_賓出,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H26063,出二,0,未释其未释匕王㲹未释既廼未释,王,KING_出二,Di Yi,living,human,king,agent,living_king_with_action,medium,
H26069,出二,0,癸卯未释未释貞王未释日亡尤,王,KING_出二,Di Yi,living,human,king,agent,living_king_alone,low,
H26082,未分期,0,辛未卜王吉,王,KING_未分期,King (Unknown),living,human,king,agent,living_king_alone,low,
H26082,未分期,1,未释王未释,王,KING_未分期,King (Unknown),living,human,king,agent,living_king_alone,low,
H26085,未分期,0,未释辰卜王吉,王,KING_未分期,King (Unknown),living,human,king,agent,living_king_alone,low,
H26090,未分期,0,貞隹王帝匕佑不若,王,KING_未分期,King (Unknown),living,human,king,agent,living_king_alone,low,
H29700,無名,0,壬子卜其未释司魚茲用,子,PRINCE_無名,Prince,living,human,royal_family,agent,living_prince_pattern,medium,
H29705,無名,0,即日甲𫹉王受佑未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H29706,事何,0,辛巳卜何貞王未释亡巛大既日未释,王,KING_事何,King (事何),living,human,king,agent,living_king_alone,low,
H29712,無名,0,乙巳卜今日乙王其𨒜新庸美不冓𧷛日,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H29714,未分期,0,叀廿祀用王受未释,王,KING_未分期,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H29732,未分期,0,戊子卜于生夕未释,子,PRINCE_未分期,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H29739,無名,0,未释來日王受佑,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H29743,未分期,0,叀壬子,子,PRINCE_未分期,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H29753,無名,0,未释子卜翊日乙王未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H29753,無名,0,未释子卜翊日乙王未释,子,PRINCE_無名,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H29755,無名,0,未释翊日辛王其򤋔,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H29757,無名,0,翊日壬王,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H29758,無名,0,翊日壬王未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H29760,未分期,0,辛未未释今翌未释王未释,王,KING_未分期,King (Unknown),living,human,king,agent,living_king_alone,low,
H29780,無名,0,于旦王廼未释未释悔不雨,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H29802,無名,0,𠨘各日王受佑,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H29805,無名,0,未释王未释埶未释巛,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H29807,無名,0,王其未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H29809,未分期,0,甲午未释王未释,王,KING_未分期,King (Unknown),living,human,king,agent,living_king_alone,low,
H29858,無名,0,王其未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H29864,無名,0,戊午卜今日王未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H29866,何二,1,貞王其未释,王,KING_何二,King (何二),living,human,king,agent,living_king_with_action,medium,
H29870,何一,2,未释王未释,王,KING_何一,King (何一),living,human,king,agent,living_king_alone,low,
H29901,無名,0,王叀戊田湄日不,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H29906,何一,2,丁巳未释未释貞王未释,王,KING_何一,King (何一),living,human,king,agent,living_king_alone,low,
H29910,無名,1,王其省田昃不雨,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H29917,無名,1,今日壬王其田湄日亡巛,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H29921,無名,0,未释子卜今日雨,子,PRINCE_無名,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H29968,何一,0,丁卯未释貞王未释雨,王,KING_何一,King (何一),living,human,king,agent,living_king_alone,low,
H29968,何一,1,丁卯卜未释貞王未释雨,王,KING_何一,King (何一),living,human,king,agent,living_king_alone,low,
H29981,事何,0,貞叀雨王未释,王,KING_事何,King (事何),living,human,king,agent,living_king_alone,low,
H30013,無名,0,王其鼎未释佑大雨,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30057,無名,0,壬子卜乙佑大雨,子,PRINCE_無名,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H30076,何二,0,乙酉未释未释貞王其未释雨未释,王,KING_何二,King (何二),living,human,king,agent,living_king_with_action,medium,
H30077,無名,0,戊王弜未释其冓雨,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30078,事何,0,甲子卜何貞王冓雨一月,王,KING_事何,King (事何),living,human,king,agent,living_king_alone,low,
H30078,事何,0,甲子卜何貞王冓雨一月,子,PRINCE_事何,Prince,living,human,royal_family,agent,living_prince_pattern,low,
H30079,事何,0,己巳卜貞王冓雨,王,KING_事何,King (事何),living,human,king,agent,living_king_alone,low,
H30085,無名,3,未释日亡巛未释侃王,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H30106,事何,0,戊寅卜專貞王不冓雨,王,KING_事何,King (事何),living,human,king,agent,living_king_alone,low,
H30107,事何,0,壬辰卜何貞王不冓雨七夕,王,KING_事何,King (事何),living,human,king,agent,living_king_alone,low,
H30108,事何,0,壬辰卜何貞王不未释雨,王,KING_事何,King (事何),living,human,king,agent,living_king_alone,low,
H30109,事何,0,癸巳卜何貞王不冓雨七月,王,KING_事何,King (事何),living,human,king,agent,living_king_alone,low,
H30110,事何,0,未释午卜何未释王不冓未释,王,KING_事何,King (事何),living,human,king,agent,living_king_alone,low,
H30114,歷無,0,未释巳卜王往未释不冓雨,王,KING_歷無,King (歷無),living,human,king,agent,living_king_with_action,medium,
H30116,事何,0,貞王不冓雨,王,KING_事何,King (事何),living,human,king,agent,living_king_alone,low,
H30117,事何,0,未释未释未释何貞翊未释王不冓雨,王,KING_事何,King (事何),living,human,king,agent,living_king_alone,low,
H30131,無名,0,王佑未释即未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H30133,無名,0,王賓,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H30133,無名,0,王賓,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H30133,無名,1,弜賓,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H30136,無名,0,王未释日未释大未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H30153,未分期,0,乙酉卜何未释王冓未释在未释,王,KING_未分期,King (Unknown),living,human,king,agent,living_king_alone,low,
H30163,何一,0,未释王未释月延雨未释,王,KING_何一,King (何一),living,human,king,agent,living_king_alone,low,
H30173,無名,0,甲子卜其禱雨于東方,子,PRINCE_無名,Prince,living,human,royal_family,agent,living_prince_pattern,medium,
H30266,無名,0,未释未释卜王其乍򡽥榆于򩡜未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30282,何一,0,己丑卜彭貞其廌祖丁賓門于協卒𠨘彡,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H30284,無名,0,于阜西酓王弗未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H30284,無名,1,于庭門孰酓王弗悔,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H30284,無名,2,未释孰未释王弗未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H30285,無名,1,于庭門孰酓王弗悔,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H30287,無名,1,丁酉卜戊王其田从未释亡巛,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30292,未分期,0,未释門王叀未释,王,KING_未分期,King (Unknown),living,human,king,agent,living_king_alone,low,
H30296,無名,1,丁丑卜其祝王入于多亞,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30296,無名,2,丁丑人其祝王入未释帝于未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30297,無名,0,甲午卜王馬噚󍗞其御于父甲亞,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30306,歷無,0,丙子卜其尊黍于宗,子,PRINCE_歷無,Prince,living,human,royal_family,agent,living_prince_pattern,medium,
H30307,何二,0,未释于宗用王受未释佑,王,KING_何二,King (何二),living,human,king,agent,living_king_with_action,medium,
H30308,何二,0,未释于宗王受佑,王,KING_何二,King (何二),living,human,king,agent,living_king_with_action,medium,
