bone_id,period_class,group_order,sentence_simple,surface_form,canonical_entity_id,canonical_name,entity_phase,entity_type,entity_subtype,entity_role,rule_hit,confidence,linked_entity_id
H30398,無名,1,𠯑祖乙祝叀祖丁用王受佑,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30398,無名,2,叀高且夒祝用王受佑,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30404,何二,0,叀夒王受未释,王,KING_何二,King (何二),living,human,king,agent,living_king_with_action,medium,
H30411,無名,0,未释酉卜王其𰇑岳尞叀犬未释眔豚十佑大雨,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30412,無名,1,岳眔河𫹉王受又二,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30414,無名,0,發王受有祐,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30414,無名,1,岳尞叀舊𮁧用三牢王受有祐,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30414,無名,2,𢼎王未释,王,KING_無名,King (Unknown),living,human,king,agent,living_king_alone,low,
H30426,何一,1,癸丑卜王于岳,王,KING_何一,King (何一),living,human,king,agent,living_king_alone,low,
H30426,何一,2,己未卜王于河,王,KING_何一,King (何一),living,human,king,agent,living_king_alone,low,
H30431,無名,0,王其田襄򤋔于河,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30435,無名,0,于來日庚𫹉王受佑,王,KING_無名,King (Unknown),living,human,king,agent,living_king_with_action,medium,
H30442,事何,1,未释未释卜未释未释未释未释王賓未释,賓,BIN,賓,living,human,diviner,agent,living_named_person,high,
H30442,事何,1,未释未释卜未释未释未释未释王賓未释,王,KING_事何,King (事何),living,human,king,agent,living_king_alone,low,
