bone_id,group_type,group_order,period_class,sentence_simple,theme,detail_json
H30032,InscriptionSentence,2,無名,叀𰋶奏佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30032,InscriptionSentence,3,無名,叀商奏佑正佑大雨,rain,"{""keyword"": ""雨""}"
H30032,InscriptionSentence,3,無名,叀商奏佑正佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30033,InscriptionSentence,0,無名,其𰇑御佑大雨,rain,"{""keyword"": ""雨""}"
H30033,InscriptionSentence,0,無名,其𰇑御佑大雨,ritual,"{""verb_type"": ""strong"", ""verbs"": [""御""], ""target_type"": ""other""}"
H30033,InscriptionSentence,1,無名,弜𰇑亡大雨,rain,"{""keyword"": ""雨""}"
H30034,InscriptionSentence,1,無名,叀辛出佑大雨,rain,"{""keyword"": ""雨""}"
H30034,InscriptionSentence,1,無名,叀辛出佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30035,InscriptionSentence,0,無名,于己佑大雨,rain,"{""keyword"": ""雨""}"
H30035,InscriptionSentence,0,無名,于己佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30037,InscriptionSentence,1,無名,叀戊出佑大雨,rain,"{""keyword"": ""雨""}"
H30037,InscriptionSentence,1,無名,叀戊出佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30037,InscriptionSentence,2,無名,己出大雨,rain,"{""keyword"": ""雨""}"
H30038,InscriptionSentence,1,無名,于壬𫹉佑大雨,rain,"{""keyword"": ""雨""}"
H30038,InscriptionSentence,1,無名,于壬𫹉佑大雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
H30038,InscriptionSentence,2,無名,于癸𫹉佑雨,rain,"{""keyword"": ""雨""}"
H30038,InscriptionSentence,2,無名,于癸𫹉佑雨,ritual,"{""verb_type"": ""weak"", ""verbs"": [""佑""], ""target_type"": ""other""}"
